Grouping,"Lead Request Users","Lead Users",Leads,Leads/LU,"Unreconciled Publisher Lead Revenue","Clickout Impressions",Clickouts,"Clickthrough Rate","Unreconciled Publisher Clickout Revenue","Unreconciled Publisher Total Revenue","Source Code","Tracking Code","Adult Lead Request Users","Adult Lead Users","Adult Leads","Adult Leads / LU","Adult Unreconciled Publisher Lead Revenue","Adult Clickouts","Adult Clickout Revenue","High School Lead Request Users","High School Lead Users","High School Leads","High School Leads / LU","High School Unreconciled Publisher Lead Revenue","High School Clickouts","High School Clickout Revenue"
"2017-12-30 Sat",1,0,0,0,0,2,1,0.5,6.71,6.71,sa-B0D889DD-_pb-g1_cp-232086641_ag-18099026681_dv-m_kw-kwd-132618995321_var-b_,,1,0,0,,0,1,6.71,0,0,0,,0,0,0
"2017-12-30 Sat",1,0,0,0,0,3,0,0,0,0,sa-B0D889DD-_pb-g1_cp-232086641_ag-18099026681_dv-m_kw-kwd-30892861782_var-b_,,1,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",1,0,0,0,0,1,0,0,0,0,sa-B0D889DD-_pb-g1_cp-232086641_ag-18099026681_dv-m_kw-kwd-344364795_var-b_,,1,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",1,0,0,0,0,4,1,0.25,10.85,10.85,sa-B0D889DD-_pb-g1_cp-232086641_ag-18099026681_dv-m_kw-kwd-4309776947_var-b_,,1,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",1,1,2,2,40.12,1,0,0,0,40.12,sa-B0D889DD-_pb-g1_cp-232086641_ag-18099026681_dv-m_kw-kwd-65028139610_var-b_,,1,1,2,2,40.12,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",0,0,0,0,0,1,0,0,0,0,sa-B0D889DD-_pb-g1_cp-232086641_ag-18099026681_dv-m_kw-kwd-86280163468_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",3,0,0,0,0,4,0,0,0,0,sa-B0D889DD-_pb-g1_cp-232086641_ag-18099026681_dv-m_kw-kwd-95204913_var-b_,,2,0,0,,0,0,0,1,0,0,,0,0,0
"2017-12-30 Sat",1,0,0,0,0,0,0,0,0,0,sa-B0D889DD-_pb-g1_cp-232086641_ag-18099026681_dv-m_kw-kwd-97402086277_var-b_,,1,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",1,0,0,0,0,3,1,0.3333,3.81,3.81,sa-B0D889DD-_pb-g1_cp-232086641_ag-18099031241_dv-m_kw-kwd-132620989721_var-b_,,1,0,0,,0,1,3.81,0,0,0,,0,0,0
"2017-12-30 Sat",0,0,0,0,0,1,0,0,0,0,sa-B0D889DD-_pb-g1_cp-232086641_ag-18099031241_dv-m_kw-kwd-132620991641_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",0,0,0,0,0,1,0,0,0,0,sa-B0D889DD-_pb-g1_cp-232086641_ag-18099031241_dv-m_kw-kwd-43209060425_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",0,0,0,0,0,1,0,0,0,0,sa-B0D889DD-_pb-g2_cp-300306968_ag-17531203928_dv-m_kw-kwd-179638154888_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",2,1,1,1,29.25,13,5,0.3846,19.09,48.34,sa-B0D889DD-_pb-g2_cp-300306968_ag-17531203928_dv-m_kw-kwd-21684968152_var-b_,,2,1,1,1,29.25,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",0,0,0,0,0,1,0,0,0,0,sa-B0D889DD-_pb-g2_cp-300306968_ag-17531204768_dv-m_kw-kwd-160459650728_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",0,0,0,0,0,1,0,0,0,0,sa-B0D889DD-_pb-g2_cp-300306968_ag-17531204768_dv-m_kw-kwd-160459657208_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",2,1,1,1,23.4,2,0,0,0,23.4,sa-B0D889DD-_pb-g2_cp-300306968_ag-17531204768_dv-m_kw-kwd-53749502693_var-b_,,2,1,1,1,23.4,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",0,0,0,0,0,1,0,0,0,0,sa-B0D889DD-_pb-g2_cp-300306968_ag-17531205248_dv-m_kw-kwd-133912746488_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",1,0,0,0,0,3,1,0.3333,2.68,2.68,sa-B0D889DD-_pb-g2_cp-300306968_ag-17531205248_dv-m_kw-kwd-1765411395_var-b_,,1,0,0,,0,1,2.68,0,0,0,,0,0,0
"2017-12-30 Sat",1,0,0,0,0,1,0,0,0,0,sa-B0D889DD-_pb-g2_cp-300306968_ag-17531205248_dv-m_kw-kwd-179620036808_var-b_,,1,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",8,4,5,1.3,118.77,48,10,0.20829999999999999,38.08,156.85,sa-B0D889DD-_pb-g2_cp-300306968_ag-17531205248_dv-m_kw-kwd-24793083520_var-b_,,6,4,5,1.3,118.77,0,0,2,0,0,,0,0,0
"2017-12-30 Sat",4,0,0,0,0,52,12,0.23079999999999998,30.61,30.61,sa-B0D889DD-_pb-g2_cp-300306968_ag-17531205248_dv-m_kw-kwd-24793290400_var-b_,,2,0,0,,0,0,0,2,0,0,,0,0,0
"2017-12-30 Sat",0,0,0,0,0,1,0,0,0,0,sa-B0D889DD-_pb-g2_cp-300306968_ag-17531205248_dv-m_kw-kwd-3211778843_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",2,0,0,0,0,21,5,0.23809999999999998,13.66,13.66,sa-B0D889DD-_pb-g2_cp-300306968_ag-17531205248_dv-m_kw-kwd-33096851_var-b_,,1,0,0,,0,0,0,1,0,0,,0,0,0
"2017-12-30 Sat",2,0,0,0,0,3,1,0.3333,2.86,2.86,sa-B0D889DD-_pb-g2_cp-300306968_ag-17531205248_dv-m_kw-kwd-33096951_var-b_,,1,0,0,,0,0,0,1,0,0,,0,1,2.86
"2017-12-30 Sat",2,0,0,0,0,11,3,0.2727,11.16,11.16,sa-B0D889DD-_pb-g2_cp-300306968_ag-17531205248_dv-m_kw-kwd-52729527542_var-b_,,0,0,0,,0,0,0,2,0,0,,0,0,0
"2017-12-30 Sat",0,0,0,0,0,4,1,0.25,2.01,2.01,sa-B0D889DD-_pb-g2_cp-300306968_ag-17531205248_dv-m_kw-kwd-98658885_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",2,0,0,0,0,2,0,0,0,0,sa-B0D889DD-_pb-g2_cp-300306968_ag-18081464408_dv-m_kw-kwd-133915430408_var-b_,,1,0,0,,0,0,0,1,0,0,,0,0,0
"2017-12-30 Sat",0,0,0,0,0,5,3,0.6,5.79,5.79,sa-B0D889DD-_pb-g2_cp-300306968_ag-18081464408_dv-m_kw-kwd-24793077640_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",0,0,0,0,0,2,0,0,0,0,sa-B0D889DD-_pb-g2_cp-300306968_ag-29436539168_dv-m_kw-kwd-104968009001_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",0,0,0,0,0,2,0,0,0,0,sa-B0D889DD-_pb-g2_cp-300306968_ag-29436539168_dv-m_kw-kwd-104968009481_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",1,0,0,0,0,1,0,0,0,0,sa-B0D889DD-_pb-g2_cp-300306968_ag-29436539168_dv-m_kw-kwd-85512635690_var-b_,,1,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-29 Fri",2,0,0,0,0,5,2,0.4,10.37,10.37,sa-B0D889DD-_pb-b1_cp-277140607_ag-1210562331781267_dv-c_kw-75660169872221_var-b_,,2,0,0,,0,2,10.37,0,0,0,,0,0,0
"2017-12-29 Fri",1,1,1,1,17.55,3,2,0.6667000000000001,12.96,30.51,sa-B0D889DD-_pb-b1_cp-277140607_ag-1211661843245828_dv-c_kw-75728889223622_var-b_,,1,1,1,1,17.55,2,12.96,0,0,0,,0,0,0
"2017-12-29 Fri",0,0,0,0,0,2,1,0.5,3.43,3.43,sa-B0D889DD-_pb-b2_cp-277399748_ag-1212761388352965_dv-c_kw-75797633517030_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-29 Fri",0,0,0,0,0,1,0,0,0,0,sa-B0D889DD-_pb-b2_cp-277399748_ag-1212761388352965_dv-m_kw-75797633517012_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-29 Fri",1,0,0,0,0,1,0,0,0,0,sa-B0D889DD-_pb-b2_cp-277399748_ag-1213860900123734_dv-c_kw-75866353266566_var-b_,,1,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-29 Fri",2,1,1,1,27.3,1,0,0,0,27.3,sa-B0D889DD-_pb-b2_cp-277399748_ag-1213860900123734_dv-c_kw-75866353266659_var-b_,,2,1,1,1,27.3,0,0,0,0,0,,0,0,0
"2017-12-29 Fri",0,0,0,0,0,1,0,0,0,0,sa-B0D889DD-_pb-b2_cp-277399748_ag-1213860900123734_dv-c_kw-75866353266903_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-29 Fri",0,0,0,0,0,2,1,0.5,1.65,1.65,sa-B0D889DD-_pb-b2_cp-277399748_ag-1213860900123734_dv-c_kw-75866353266907_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-29 Fri",0,0,0,0,0,6,3,0.5,9.3,9.3,sa-B0D889DD-_pb-b2_cp-277399748_ag-1213860900123734_dv-m_kw-75866353266566_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
